Radius (Earth Radii) | Density (g cm^-3) | Pressure (Mbar) | Temperature (K) | Mass (Earth Masses)
0.1475	2.867e+01	3.540e+01	5493.873	0.016767
0.1491	2.866e+01	3.538e+01	5493.873	0.017305
0.1507	2.866e+01	3.535e+01	5493.873	0.017855
0.1523	2.865e+01	3.533e+01	5493.873	0.018416
0.1538	2.864e+01	3.531e+01	5493.873	0.018989
0.1554	2.864e+01	3.529e+01	5493.873	0.019574
0.1570	2.863e+01	3.526e+01	5493.873	0.020170
0.1585	2.862e+01	3.524e+01	5493.873	0.020778
0.1601	2.862e+01	3.522e+01	5493.873	0.021399
0.1617	2.861e+01	3.519e+01	5493.873	0.022031
0.1632	2.860e+01	3.517e+01	5493.873	0.022676
0.1648	2.859e+01	3.515e+01	5493.873	0.023333
0.1664	2.859e+01	3.512e+01	5493.873	0.024002
0.1679	2.858e+01	3.510e+01	5493.873	0.024684
0.1695	2.857e+01	3.507e+01	5493.873	0.025379
0.1711	2.857e+01	3.505e+01	5493.873	0.026086
0.1727	2.856e+01	3.502e+01	5493.873	0.026807
0.1742	2.855e+01	3.500e+01	5493.873	0.027540
0.1758	2.854e+01	3.497e+01	5493.873	0.028287
0.1774	2.854e+01	3.495e+01	5493.873	0.029047
0.1789	2.853e+01	3.492e+01	5493.873	0.029820
0.1805	2.852e+01	3.489e+01	5493.873	0.030606
0.1821	2.851e+01	3.487e+01	5493.873	0.031407
0.1836	2.850e+01	3.484e+01	5493.873	0.032221
0.1852	2.850e+01	3.481e+01	5493.873	0.033048
0.1868	2.849e+01	3.479e+01	5493.873	0.033890
0.1884	2.848e+01	3.476e+01	5493.873	0.034746
0.1899	2.847e+01	3.473e+01	5493.873	0.035616
0.1915	2.846e+01	3.470e+01	5493.873	0.036500
0.1931	2.846e+01	3.468e+01	5493.873	0.037398
0.1946	2.845e+01	3.465e+01	5493.873	0.038311
0.1962	2.844e+01	3.462e+01	5493.873	0.039238
0.1978	2.843e+01	3.459e+01	5493.873	0.040181
0.1993	2.842e+01	3.456e+01	5493.873	0.041138
0.2009	2.841e+01	3.453e+01	5493.873	0.042109
0.2025	2.840e+01	3.450e+01	5493.873	0.043096
0.2040	2.840e+01	3.447e+01	5493.873	0.044098
0.2056	2.839e+01	3.445e+01	5493.873	0.045115
0.2072	2.838e+01	3.442e+01	5493.873	0.046148
